Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,date,strain,country
MG812677,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,LF17013,Mammarenavirus lassaense,partial,Liberia: Bong,Liberia,Homo sapiens,blood,2017-02-13,2017-02-13,MG812677,Liberia
MG812679,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,811606,Mammarenavirus lassaense,partial,Liberia,Liberia,Homo sapiens,blood,2010,2010,MG812679,Liberia
MG812681,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,810801,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,1974,1974,MG812681,Nigeria
MG812683,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,808714,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Homo sapiens,blood,1980,1980,MG812683,Sierra Leone
MG812685,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,807988,Mammarenavirus lassaense,partial,Guinea,Guinea,Homo sapiens,blood,1996,1996,MG812685,Guinea
MK281625,Mammarenavirus lassaense,"Metsky,H.C., Siddle,K.J., Gladden-Young,A., Qu,J., Yang,D.K., Brehio,P., Goldfarb,A., Piantadosi,A., Wohl,S., Carter,A., Lin,A.E., Barnes,K.G., Tully,D.C., Corleis,B., Hennigan,S., Barbosa-Lima,G., Vieira,Y.R., Paul,L.M., Tan,A.L., Garcia,K.F., Parham,L.A., Odia,I., Eromon,P., Folarin,O.A., Goba,A., Simon-Loriere,E., Hensley,L., Balmaseda,A., Harris,E., Kwon,D., Allen,T.M., Runstadler,J.A., Smole,S., Bozza,F.A., Souza,T.M.L., Isern,S., Michael,S.F., Lorenzana,I., Gehrke,L., Bosch,I., Ebel,G., Grant,D., Happi,C., Park,D.J., Gnirke,A., Sabeti,P.C., Matranga,C.B.","Broad Institute, Viral Genomics, IDMP",USA,2019-01-13,H.sapiens-wt/NGA/2018/LASV0237-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-26,2018-02-26,MK281625,Nigeria
MK281627,Mammarenavirus lassaense,"Metsky,H.C., Siddle,K.J., Gladden-Young,A., Qu,J., Yang,D.K., Brehio,P., Goldfarb,A., Piantadosi,A., Wohl,S., Carter,A., Lin,A.E., Barnes,K.G., Tully,D.C., Corleis,B., Hennigan,S., Barbosa-Lima,G., Vieira,Y.R., Paul,L.M., Tan,A.L., Garcia,K.F., Parham,L.A., Odia,I., Eromon,P., Folarin,O.A., Goba,A., Simon-Loriere,E., Hensley,L., Balmaseda,A., Harris,E., Kwon,D., Allen,T.M., Runstadler,J.A., Smole,S., Bozza,F.A., Souza,T.M.L., Isern,S., Michael,S.F., Lorenzana,I., Gehrke,L., Bosch,I., Ebel,G., Grant,D., Happi,C., Park,D.J., Gnirke,A., Sabeti,P.C., Matranga,C.B.","Broad Institute, Viral Genomics, IDMP",USA,2019-01-13,H.sapiens-wt/NGA/2018/LASV0225-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-20,2018-01-20,MK281627,Nigeria
MK291248,Mammarenavirus lassaense,"Metsky,H.C., Siddle,K.J., Gladden-Young,A., Qu,J., Yang,D.K., Brehio,P., Goldfarb,A., Piantadosi,A., Wohl,S., Carter,A., Lin,A.E., Barnes,K.G., Tully,D.C., Corleis,B., Hennigan,S., Barbosa-Lima,G., Vieira,Y.R., Paul,L.M., Tan,A.L., Garcia,K.F., Parham,L.A., Odia,I., Eromon,P., Folarin,O.A., Goba,A., Simon-Loriere,E., Hensley,L., Balmaseda,A., Harris,E., Kwon,D., Allen,T.M., Runstadler,J.A., Smole,S., Bozza,F.A., Souza,T.M.L., Isern,S., Michael,S.F., Lorenzana,I., Gehrke,L., Bosch,I., Ebel,G., Grant,D., Happi,C., Park,D.J., Gnirke,A., Sabeti,P.C., Matranga,C.B.","Broad Institute, Viral Genomics, IDMP",USA,2019-01-13,H.sapiens-wt/NGA/LASV-SM1,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2015,2015,MK291248,Nigeria
MK291249,Mammarenavirus lassaense,"Metsky,H.C., Siddle,K.J., Gladden-Young,A., Qu,J., Yang,D.K., Brehio,P., Goldfarb,A., Piantadosi,A., Wohl,S., Carter,A., Lin,A.E., Barnes,K.G., Tully,D.C., Corleis,B., Hennigan,S., Barbosa-Lima,G., Vieira,Y.R., Paul,L.M., Tan,A.L., Garcia,K.F., Parham,L.A., Odia,I., Eromon,P., Folarin,O.A., Goba,A., Simon-Loriere,E., Hensley,L., Balmaseda,A., Harris,E., Kwon,D., Allen,T.M., Runstadler,J.A., Smole,S., Bozza,F.A., Souza,T.M.L., Isern,S., Michael,S.F., Lorenzana,I., Gehrke,L., Bosch,I., Ebel,G., Grant,D., Happi,C., Park,D.J., Gnirke,A., Sabeti,P.C., Matranga,C.B.","Broad Institute, Viral Genomics, IDMP",USA,2019-01-13,H.sapiens-wt/NGA/LASV-SM2,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2014,2014,MK291249,Nigeria
MK291250,Mammarenavirus lassaense,"Metsky,H.C., Siddle,K.J., Gladden-Young,A., Qu,J., Yang,D.K., Brehio,P., Goldfarb,A., Piantadosi,A., Wohl,S., Carter,A., Lin,A.E., Barnes,K.G., Tully,D.C., Corleis,B., Hennigan,S., Barbosa-Lima,G., Vieira,Y.R., Paul,L.M., Tan,A.L., Garcia,K.F., Parham,L.A., Odia,I., Eromon,P., Folarin,O.A., Goba,A., Simon-Loriere,E., Hensley,L., Balmaseda,A., Harris,E., Kwon,D., Allen,T.M., Runstadler,J.A., Smole,S., Bozza,F.A., Souza,T.M.L., Isern,S., Michael,S.F., Lorenzana,I., Gehrke,L., Bosch,I., Ebel,G., Grant,D., Happi,C., Park,D.J., Gnirke,A., Sabeti,P.C., Matranga,C.B.","Broad Institute, Viral Genomics, IDMP",USA,2019-01-13,H.sapiens-wt/NGA/LASV-SM3,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2014,2014,MK291250,Nigeria
MK107897,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2011/IRR_001,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2011-08-02,2011-08-02,MK107897,Nigeria
MK107898,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2012/IRR_010,Mammarenavirus lassaense,partial,Nigeria: Delta,Nigeria,Homo sapiens,,2012-05-28,2012-05-28,MK107898,Nigeria
MK107899,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2013/IRR_014,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2013-11-23,2013-11-23,MK107899,Nigeria
MK107900,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2013/IRR_016,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2013-12-08,2013-12-08,MK107900,Nigeria
MK107901,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2013/IRR_008,Mammarenavirus lassaense,partial,Nigeria: Taraba,Nigeria,Homo sapiens,,2013-03-06,2013-03-06,MK107901,Nigeria
MK107902,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_005,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2014-05-14,2014-05-14,MK107902,Nigeria
MK107903,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_006,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2014-05-14,2014-05-14,MK107903,Nigeria
MK107904,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_007,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2014-05-14,2014-05-14,MK107904,Nigeria
MK107905,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_008,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2014-05-15,2014-05-15,MK107905,Nigeria
MK107906,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_009,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2014-05-17,2014-05-17,MK107906,Nigeria
MK107907,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_010,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2014-05-17,2014-05-17,MK107907,Nigeria
MK107908,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_011,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2014-08-01,2014-08-01,MK107908,Nigeria
MK107909,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_012,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2014-08-10,2014-08-10,MK107909,Nigeria
MK107910,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2014/IRR_002,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2014-01-20,2014-01-20,MK107910,Nigeria
MK107911,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2015/IRR_009,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2015-04-25,2015-04-25,MK107911,Nigeria
MK107912,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2015/IRR_008,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2015-04-10,2015-04-10,MK107912,Nigeria
MK107913,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2015/IRR_010,Mammarenavirus lassaense,partial,Nigeria: Kogi,Nigeria,Homo sapiens,,2015-07-02,2015-07-02,MK107913,Nigeria
MK107914,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2015/IRR_014,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2015-12-30,2015-12-30,MK107914,Nigeria
MK107915,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2015/IRR_011,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2015-09-16,2015-09-16,MK107915,Nigeria
MK107916,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2015/IRR_012,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2015-11-06,2015-11-06,MK107916,Nigeria
MK107917,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_012,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2016-01-25,2016-01-25,MK107917,Nigeria
MK107918,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_014,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2016-01-28,2016-01-28,MK107918,Nigeria
MK107919,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_019,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2016-02-12,2016-02-12,MK107919,Nigeria
MK107920,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_028,Mammarenavirus lassaense,partial,Nigeria: Bauchi,Nigeria,Homo sapiens,,2016-02-29,2016-02-29,MK107920,Nigeria
MK107921,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_025,Mammarenavirus lassaense,partial,Nigeria: Benue,Nigeria,Homo sapiens,,2016-02-26,2016-02-26,MK107921,Nigeria
MK107922,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_007,Mammarenavirus lassaense,partial,Nigeria: Cross River,Nigeria,Homo sapiens,,2016-01-18,2016-01-18,MK107922,Nigeria
MK107923,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_018,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2016-02-09,2016-02-09,MK107923,Nigeria
MK107924,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_021,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2016-02-18,2016-02-18,MK107924,Nigeria
MK107925,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_026,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2016-02-26,2016-02-26,MK107925,Nigeria
MK107926,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_027,Mammarenavirus lassaense,partial,Nigeria: Ebonyi,Nigeria,Homo sapiens,,2016-02-28,2016-02-28,MK107926,Nigeria
MK107927,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_006,Mammarenavirus lassaense,partial,Nigeria: Ekiti,Nigeria,Homo sapiens,,2016-01-14,2016-01-14,MK107927,Nigeria
MK107928,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_013,Mammarenavirus lassaense,partial,Nigeria: Imo,Nigeria,Homo sapiens,,2016-01-27,2016-01-27,MK107928,Nigeria
MK107929,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_023,Mammarenavirus lassaense,partial,Nigeria: Kaduna,Nigeria,Homo sapiens,,2016-02-23,2016-02-23,MK107929,Nigeria
MK107930,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_016,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2016-02-06,2016-02-06,MK107930,Nigeria
MK107931,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_008,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2016-01-20,2016-01-20,MK107931,Nigeria
MK107932,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_011,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2016-01-24,2016-01-24,MK107932,Nigeria
MK107933,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_015,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2016-02-03,2016-02-03,MK107933,Nigeria
MK107934,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_032,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2016-03-13,2016-03-13,MK107934,Nigeria
MK107935,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_020,Mammarenavirus lassaense,partial,Nigeria: Nasarawa,Nigeria,Homo sapiens,,2016-02-15,2016-02-15,MK107935,Nigeria
MK107936,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_017,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2016-02-06,2016-02-06,MK107936,Nigeria
MK107937,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_033,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2016-03-14,2016-03-14,MK107937,Nigeria
MK107938,Mammarenavirus lassaense,"Ehichioya,D.U., Lemey,P., Kafetzopoulou,L.E., Rieger,T., Cadar,D., Duraffour,S., Ogbaini-Emovon,E., Okogbenin,S., Asogun,D., Gunther,S.","Bernhard-Nocht-Institute for Tropical Medicine, Department of Virology",Germany,2018-12-10,LASV/H.sapiens-tc/NGA/2016/IRR_029,Mammarenavirus lassaense,partial,Nigeria: Ondo,Nigeria,Homo sapiens,,2016-03-01,2016-03-01,MK107938,Nigeria
